"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60"
9.884,9.02,6.14,6.044,9.404,11.324,11.516,9.884,9.404,6.524,9.116,9.884,10.748,11.612,13.34,9.308,9.404,9.596,7.004,8.06,9.884,10.748,9.884,8.54,6.044,6.332,6.62,10.556,9.98,7.676,6.428,8.444,10.748,11.228,9.884,9.884,9.692,8.348,6.524,7.1,9.98,11.42,10.844,7.1,7.388,10.844,11.516,9.596,5.66,6.62,8.444,9.404,9.884,10.172,8.828,6.812,7.1,11.036,9.98,8.444
7.868,9.308,11.132,10.364,9.98,9.788,9.404,8.252,8.732,10.172,9.692,9.116,9.116,8.252,8.06,7.196,7.484,10.652,11.516,12.956,10.364,10.076,9.98,8.828,9.212,9.308,10.844,10.268,7.676,6.908,9.308,10.844,10.46,9.884,6.62,6.524,6.332,8.06,7.58,10.172,10.268,7.868,5.852,7.868,9.98,10.844,10.652,7.196,5.852,7.964,10.172,10.076,10.076,7.58,6.332,7.196,9.884,9.5,8.252,8.828
7.772,7.676,7.292,9.788,8.444,8.252,7.196,6.908,9.5,7.868,6.812,6.428,7.868,11.132,12.956,9.788,9.5,9.5,7.868,8.444,8.444,9.788,10.46,8.924,10.46,11.42,14.972,8.252,6.332,6.428,7.964,7.484,6.428,7.868,6.716,6.524,6.524,9.98,10.748,11.228,9.212,6.332,6.716,9.5,14.876,12.764,9.212,7.292,7.196,9.212,9.212,9.212,11.228,11.9,7.676,6.428,7.388,9.116,9.884,11.516
9.404,9.98,9.212,7.676,8.54,10.748,8.636,6.14,7.196,9.692,11.804,9.308,5.852,6.428,9.116,8.444,10.076,10.172,9.116,7.196,7.388,9.308,10.844,8.348,6.428,6.14,6.236,6.428,9.5,9.212,8.924,11.132,11.324,11.324,7.772,6.236,8.252,9.404,9.212,10.076,9.5,7.484,7.388,10.46,13.052,11.036,9.404,6.908,7.964,11.516,10.364,9.404,7.196,7.292,6.716,8.924,11.228,12.86,10.268,8.924
8.732,9.116,9.884,11.036,7.964,6.236,7.004,7.004,11.612,9.98,7.196,6.812,7.772,6.524,6.332,11.036,11.228,10.94,8.924,9.884,9.692,9.5,9.596,8.06,6.62,6.524,7.1,6.428,6.236,11.516,11.516,9.404,9.884,10.076,10.172,10.556,7.58,6.332,7.676,7.484,10.652,11.132,9.5,9.788,10.748,10.46,9.5,11.036,11.804,10.076,7.676,7.964,9.884,9.5,9.788,10.268,7.964,7.868,11.612,9.116
7.292,7.196,9.308,10.076,11.132,9.5,8.348,8.732,7.196,6.908,6.908,9.98,10.556,9.884,9.404,8.06,8.924,8.924,9.884,8.924,6.428,6.044,10.844,9.884,6.236,6.332,9.02,9.02,7.676,8.06,10.364,10.172,7.004,6.812,6.524,9.884,7.196,6.236,9.308,10.364,10.652,9.02,7.772,9.02,7.388,9.02,7.388,7.004,7.196,7.004,10.94,10.94,11.324,9.884,7.004,6.428,6.14,11.612,12.38,9.596
10.94,11.612,11.132,8.924,6.428,6.428,6.332,9.116,9.404,10.46,10.748,11.036,11.132,10.076,9.116,6.428,6.428,10.172,11.324,8.54,9.98,7.772,5.852,7.772,9.884,10.364,8.348,6.524,6.044,6.332,8.252,8.252,9.308,7.772,6.428,7.004,6.332,6.14,11.228,12.956,10.268,9.884,6.524,7.196,9.116,9.98,9.884,9.692,8.924,8.732,9.404,7.388,7.292,7.292,9.116,9.404,9.788,9.884,9.884,8.06
10.364,11.516,10.94,9.884,6.14,6.524,10.364,11.516,10.652,8.924,7.292,8.444,10.268,8.06,7.676,9.308,9.596,7.484,9.596,8.444,7.388,6.14,7.868,9.884,11.228,10.172,9.884,7.292,7.196,9.884,10.94,9.884,7.484,7.196,7.1,9.308,7.868,7.1,10.076,10.076,6.812,6.812,9.5,11.036,10.268,9.788,7.388,6.812,6.812,6.716,10.172,10.556,11.036,9.212,6.332,6.524,6.716,8.348,9.884,9.692
8.252,8.828,8.06,9.884,11.42,10.46,10.172,10.844,10.076,7.772,5.948,6.332,6.428,7.484,11.036,10.844,7.484,9.308,10.844,9.212,6.428,6.236,9.788,10.076,8.06,6.428,9.98,9.884,7.292,6.044,6.524,9.884,9.98,9.98,7.1,6.62,8.348,8.252,8.252,7.964,7.196,11.516,11.612,11.804,10.172,7.004,6.524,9.98,9.98,9.884,6.812,6.428,8.924,7.868,7.292,10.94,11.036,9.5,8.348,9.884
9.5,7.292,6.332,6.62,14.972,10.652,7.196,6.62,8.636,7.196,6.14,6.236,7.196,7.196,6.716,6.428,8.828,7.196,7.196,9.404,11.708,11.804,8.924,6.332,6.812,6.812,6.908,8.636,9.5,8.06,7.388,6.62,9.308,11.228,11.42,6.62,6.428,6.908,10.652,10.268,9.308,6.428,8.348,8.252,8.252,9.02,9.596,10.172,9.5,9.692,9.884,10.076,8.252,7.292,10.076,11.612,10.46,7.676,5.948,7.1
